Name,ID,User 1,User 2,User 3,User 4,User 5,User 6,User 7,User 8,User 9,User 10
Fostering Meaningful Use of Common Fund Data,OT2OD037922,,,,,,,,,,
Developing a Hive Learning and Datathon Supported Course on Imaging and Multimodal Data for Resource-Limited Institutions (CIMDAR-HIVE),R25OD039834,,,,,,,,,,
Leveraging multiple Common Fund datasets to rank cell-cell interactions for faster hypothesis generation,R03OD036489,,,,,,,,,,
Delineating the functional impact of recurrent repeat expansions in ALS using integrative multiomic analysis,R03OD036491,,,,,,,,,,
Using Common Fund Datasets to Illuminate Drug-Microbial Interactions,R03OD036490,,,,,,,,,,
Using machine learning techniques to characterize the Metabolomics Workbench Dataset,R03OD030601,,,,,,,,,,
"Accurate, fast, and distributed atlas-scale integration of scRNAseq data",R03OD039974,,,,,,,,,,
Cross-CFDE semantic and spatial interoperability for anatomy,OT2OD030164,,,,,,,,,,
Human Microbiome Data Discovery: A short course on unveiling microbial insights to human health through Common Fund Data,R25OD039835,,,,,,,,,,
Incorporating Analysis of Gene Paralog Variation Into Existing Genomics Datasets,R03OD030605,,,,,,,,,,
Synergizing Common Fund Data from MoTrPAC and LINCS for the Discovery of Novel Exercise Mimetic Drugs,R03OD038388,,,,,,,,,,
Uncovering incomplete penetrance genes in congenital heart disease by integrative analysis of Common Fund data,R03OD039972,,,,,,,,,,
Illuminating the Druggable Genome Data Coordinating Center - Engagement Plan with the CFDE,OT2OD030546,"Christophe Gerard Lambert
0000-0003-1994-2893","Jeremy Joseph Yang
0000-0002-1476-6192","John Ringer
0009-0008-8493-0139",,,,,,,
Using Common Fund data to inform rare disease preclinical models and prioritize drug repurposing,R03OD030604,,,,,,,,,,
Investigating systems physiology with multi-omics data,R03OD032666,,,,,,,,,,
Common Fund Gene Utility Compendium: A Systems Biology Resource to Explore Tissue-Specific Functional Genes and Druggable Genomes,R03OD038392,,,,,,,,,,
Uncovering therapeutic-associated biomarkers via machine learning and feature engineering approaches,R03OD034496,,,,,,,,,,
Constructing High-Resolution Ensemble Models of 3D Single-Cell Chromatin Conformations of eQTL Loci from Integrated Analysis of 4DN-GTEx Data towards Structural Basis of Differential Gene Expression,R03OD032628,,,,,,,,,,
Predicting 3D physical gene-enhancer interactions through integration of GTEx and 4DN data,R03OD036492,,,,,,,,,,
Methods to maximize the utility of common fund functional genomic data in multi-ethnic genetic studies,R03OD032630,,,,,,,,,,
A database for high-resolution chromatin contact maps and human genetic variants,R03OD030599,,,,,,,,,,
Ultra-high resolution 3D genome maps for multiple human tissues,R03OD038390,,,,,,,,,,
"Allele-specific analysis of human epigenome, transcriptome and high-resolution chromatin organization",R03OD034500,,,,,,,,,,
The LINCS DCIC Engagement Plan with the CFDE,OT2OD030160,,,,,,,,,,
The CFDE Workbench,OT2OD036435,,,,,,,,,,
Integrative Machine Learning for Common Fund Spatial Omics,R03OD039980,,,,,,,,,,
Deep Phenotyping of 3D Data for Candidate Gene Selection from Kids First Studies,R03OD032627,,,,,,,,,,
Using phosphorylation signatures of drug perturbagens to identify exercise-mimetic compounds,R03OD032626,,,,,,,,,,
SPARC Engagement Plan with the Common Fund Data Ecosystem,OT2OD032619,,,,,,,,,,
Harmonization of GlyGen glycoconjugate and glycan array data for integration into CFDE,OT2OD032092,"Jeet Vora
0000-0002-5317-1458","Raja Mazumder
0000-0001-8823-9945","Rene Ranzinger
0000-0003-3147-448X","Michael Tiemeyer
0000-0002-8704-9143 ",,,,,,
Enhancing and making Biomarker Knowledge FAIR using contextual CFDE data,U24OD038423,,,,,,,,,,
GENOMIC INDEXING OF COMMON FUND DATASETS,OT2OD030547,,,,,,,,,,
Integrating 4DN data to identify functional rare variants in UDN and GTEx,R03OD039976,,,,,,,,,,
Evaluating the utility of cis-regulatory element graphs for modeling gene regulation,R03OD036496,,,,,,,,,,
Improving Deposition Quality and FAIRness of Metabolomics Workbench,R03OD030603,,,,,,,,,,
Interrogation and Interpretation of Common Fund Data Sets to Identify Novel Ocular Disease Genes,R03OD032622,,,,,,,,,,
Using Common Fund datasets for xenobiotic localization,R03OD032624,,,,,,,,,,
Interoperability and Collaboration with the Common Fund Data Ecosystem to Improve Utility of 4DN Data,OT2OD032119,,,,,,,,,,
Variant impact prediction on Common Fund data sets towards drug repurposing for rare genetic diseases,R03OD038386,,,,,,,,,,
Kids First Data Resource Center (KFDRC): Harnessing Data-Driven Opportunities in the Present on behalf of the Future of Common Fund Data Ecosystem (CFDE),OT2OD030162,,,,,,,,,,
Integrative analysis of genomics and proteomics to identify candidate molecular transducers of cardiorespiratory fitness,R03OD038387,,,,,,,,,,
Discovery of neoepitope immunotherapeutic targets in diffuse pediatric high-grade gliomas,R03OD036498,,,,,,,,,,
Multi omics mapping of exercise-induced interorgan communication,R03OD039983,,,,,,,,,,
Using GTEx to assess the functionality of sex-biased variants,R03OD030598,,,,,,,,,,
"Defining the Human Metabotype [Human metabolic status defined through genetic, diet,environmental exposure and exercise perturbations]",U24OD038425,,,,,,,,,,
Biomedical Data Commons Workbench (BDCW),OT2OD030544,,,,,,,,,,
Leveraging Common Fund data for feature selection in Kids First studies.,R03OD030600,,,,,,,,,,
U24-Uncovering the Shared Genetic Origins of Childhood Cancer and Structural Birth Defects Through Enhanced Data Integration and Analysis with the CFDE Data Distillery Knowledge Graph.,U24OD038422,,,,,,,,,,
Leveraging Heterogenous Common Fund Data Sets and Beyond for Identifying Lung Cancer Subtypes,R03OD038391,,,,,,,,,,
Toward Deep Learning Techniques for Cell-Type and Spatial Resolution Estimation of Regulatory Networks,R03OD038389,,,,,,,,,,
Integration of GTEx and HuBMAP data to gain population-level cell-type-specific insights,R03OD034501,,,,,,,,,,
Co-informed prediction of microbiome-metabolome interactions through novel transfer learning models,R03OD039969,,,,,,,,,,
Constructing multi-omics regulatory networks for functional variant annotation,R03OD030608,,,,,,,,,,
Expanding the List of Human Disease Genes Using the Knockout Mouse Phenotyping Program (KOMP2) Data to Reassess Human Clinical Data,R03OD030597,,,,,,,,,,
UniProt Partnerships with Common Fund Data Ecosystem Resources for Protein-Centric Functional Genomics,U24OD038424,,,,,,,,,,
High-throughput Discovery of Novel Genome Organization Regulators,R03OD036495,,,,,,,,,,
Using three-dimensional genome structure to refine eQTL detection,R03OD032623,,,,,,,,,,
Glycan Utilization Profiling in Human Gut Microbiomes of Common Funds Data,R03OD039979,,,,,,,,,,
Computational Methods to Integrate Common Fund Data for Drug Repurposing,R03OD030609,,,,,,,,,,
Integrative analysis of multi-omics data to identify and characterize long noncoding RNA-derived fusions in pediatric cancer,R03OD034498,,,,,,,,,,
"Use UCSC Xena to promote integration and usage of the KidsFirst, GTEx, and LINCS L1000 data sets",R03OD030602,,,,,,,,,,
Molecular Transducers of Physical Activity (MoTrPAC),U24OD036598,,,,,,,,,,
Administrative Core,U54DA049110,,,,,,,,,,
Flexible Hybrid Cloud Infrastructure for Seamless Management of HuBMAP Resources,OT2OD026675,,,,,,,,,,
