filetype	filename	link	size	sha256checksum
KG Assertions	SPARC.zip	https://cfde-drc.s3.amazonaws.com/SPARC/KG Assertions/2024-04-29/SPARC.zip	71198	yxjgWCZ8xxRC9Wcfny1AIGo5iXiH6sstd4mdTm6EARM=
KG Assertions	4DN.zip	https://cfde-drc.s3.amazonaws.com/4DN/KG Assertions/2024-05-08/4DN.zip	51621382	6IUQM1yQ+QlMPApGC8fxTqLkZ7eMieQPK2aboayD7wY=
KG Assertions	GlyGen.zip	https://cfde-drc.s3.amazonaws.com/GlyGen/KG Assertions/2024-05-08/GlyGen.zip	43850865	GVANkipcOEEB/V1n1Uoa2gAwQPXtBpRhGcp0K9dJvjg=
KG Assertions	SPARC.zip	https://cfde-drc.s3.amazonaws.com/SPARC/KG Assertions/2024-05-08/SPARC.zip	198701	bJxwEgDyZgr80e4Onw60LFrKRs3X6qi3bXklGL2eXww=
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/Kids%20First/C2M2/2024-04-03/KidsFirst_C2M2_2023-11-29_datapackage.zip	35414509	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/Kids%20First/C2M2/2024-04-03/KidsFirst_C2M2_datapackage_2024-03-10.zip	38911884	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/SPARC/C2M2/2024-01-03/SPARC_C2M2_2024-01-03_datapackage.zip	40148105	
Attribute Table	LINCS L1000 CRISPR Perturbations	https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/gctx/cd-coefficient/xpr_coeff_mat.gctx	7016682296	
Attribute Table	LINCS L1000 Chemical Perturbations	https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/gctx/cd-coefficient/cp_coeff_mat.gctx	36084518760	
KG Assertions	4DN.zip	https://cfde-drc.s3.amazonaws.com/4DN/KG%20Assertions/2024-05-08/4DN.zip	51621382	
KG Assertions	ERCC.zip	https://cfde-drc.s3.amazonaws.com/ExRNA/KG%20Assertions/2024-05-08/ERCC.zip	483819533	
KG Assertions	GTEx.zip	https://cfde-drc.s3.amazonaws.com/GTEx/KG%20Assertions/2024-05-08/GTEx.zip	410160695	
KG Assertions	GlyGen.zip	https://cfde-drc.s3.amazonaws.com/GlyGen/KG%20Assertions/2024-05-08/GlyGen.zip	43850865	
KG Assertions	HuBMAP.zip	https://cfde-drc.s3.amazonaws.com/HuBMAP/KG%20Assertions/2024-05-08/HuBMAP.zip	70988	
KG Assertions	IDG.zip	https://cfde-drc.s3.amazonaws.com/IDG/KG%20Assertions/2024-05-08/IDG.zip	29404282	
KG Assertions	KF.zip	https://cfde-drc.s3.amazonaws.com/KidsFirst/KG%20Assertions/2024-05-08/KF.zip	3413457	
KG Assertions	LINCS.zip	https://cfde-drc.s3.amazonaws.com/LINCS/KG%20Assertions/2024-05-08/LINCS.zip	12180995	
KG Assertions	MW.zip	https://cfde-drc.s3.amazonaws.com/Metabolomics/KG%20Assertions/2024-05-08/MW.zip	1794255	
KG Assertions	MoTrPAC.zip	https://cfde-drc.s3.amazonaws.com/MoTrPAC/KG%20Assertions/2024-05-08/MoTrPAC.zip	1285509	
KG Assertions	SPARC.zip	https://cfde-drc.s3.amazonaws.com/SPARC/KG%20Assertions/2024-05-08/SPARC.zip	198701	
C2M2	240605_c2m2_4dn_submission.zip	https://cfde-drc.s3.amazonaws.com/4DN/C2M2/2024-06-05/240605_c2m2_4dn_submission.zip	5530781	5JBU5Olsomz9ll+lYxm54riw6jSq+YXQurEIe2PoY7w=
C2M2	MW_submission_packet_20240605.zip	https://cfde-drc.s3.amazonaws.com/Metabolomics/C2M2/2024-06-06/MW_submission_packet_20240605.zip	4406941	VXilj+J7RaoP9vytP3L2WojeF8wiGqdx8ADctsDNAQs=
C2M2	glygen_may_autogenerated_C2M2_term_tables.zip	https://cfde-drc.s3.amazonaws.com/GlyGen/C2M2/2024-06-12/glygen_may_autogenerated_C2M2_term_tables.zip	11113468	S24TKHI03+XEegEDxlRJnBeLWU2QFiKboSqk0S7pa4w=
C2M2	submission.zip	https://cfde-drc.s3.amazonaws.com/HuBMAP/C2M2/2024-06-13/submission.zip	1085502634	qHRc24KvTh4nCRGY0N8EN9n1MrMeQDLkaOwDLB/kHls=
C2M2	fy2024q3-cfde-c2m2-kids-first.zip	https://cfde-drc.s3.amazonaws.com/KidsFirst/C2M2/2024-06-14/fy2024q3-cfde-c2m2-kids-first.zip	39482210	2ut5JSTx0SoS4FhNdlOTsM+rDFBpRn4REgeHwVvTeRU=
C2M2	c2m2_2024JUN15_submit.zip	https://cfde-drc.s3.amazonaws.com/SPARC/C2M2/2024-06-15/c2m2_2024JUN15_submit.zip	17804903	nTNi8z0ngR9CWvlKLd41x53Iv5P/2ZFYdEXEeAXCbug=
C2M2	IDG_C2M2_2024-01-09_datapackage_validated.zip	https://cfde-drc.s3.amazonaws.com/IDG/C2M2/2024-07-03/IDG_C2M2_2024-01-09_datapackage_validated.zip	17072029	gLn89lr2ach8rcu3NT20utJ/X6G1n4I58q1rtel13zc=
C2M2	glygen_may_autogenerated_C2M2_term_tables_validated.zip	https://cfde-drc.s3.amazonaws.com/GlyGen/C2M2/2024-07-03/glygen_may_autogenerated_C2M2_term_tables_validated.zip	11143286	6KkVbJud1O2ovwLJZ3qeyQFe2RX1bJmseRdXwyBxtTI=
C2M2	submission_validated.zip	https://cfde-drc.s3.amazonaws.com/HuBMAP/C2M2/2024-07-03/submission_validated.zip	1079774405	2T6J6GUAiWWhFkr9otvydvvEPb9Ys2q0gl96xHzGjHU=
KG Assertions	ERCC.zip	https://cfde-drc.s3.amazonaws.com/ExRNA/KG Assertions/2024-04-29/ERCC.zip	203667501	KCywvmoT8oWQ3HHKg4Elmp9NttDB8gHCL1bfCDgsbt0=
KG Assertions	GlyGen.zip	https://cfde-drc.s3.amazonaws.com/GlyGen/KG Assertions/2024-04-29/GlyGen.zip	14753075	26cYSrm2TAxL0P67lA0Fe478v/Vlw7Qoz57ZX4w32eg=
KG Assertions	LINCS.zip	https://cfde-drc.s3.amazonaws.com/LINCS/KG Assertions/2024-04-29/LINCS.zip	4232787	sFWfIPJ5dBG8RhFmDb4FORffdC7cX2lnW3X8nXiW5uM=
KG Assertions	ERCC.zip	https://cfde-drc.s3.amazonaws.com/ExRNA/KG Assertions/2024-05-08/ERCC.zip	483819533	qCY+DC6EFkdAZfvWYuo3WuibRmFZ3FNe2ldJCqXMhmE=
KG Assertions	GTEx.zip	https://cfde-drc.s3.amazonaws.com/GTEx/KG Assertions/2024-05-08/GTEx.zip	410160695	iD1lP/woqdEVtSkxAyfH+lEgzG0eXB+So1vG6FtkMWU=
KG Assertions	IDG.zip	https://cfde-drc.s3.amazonaws.com/IDG/KG Assertions/2024-05-08/IDG.zip	29404282	kOEiodkb4dn9mJ0xPLs/9LVS2HhbhjTXD485n0GeT/s=
KG Assertions	KF.zip	https://cfde-drc.s3.amazonaws.com/KidsFirst/KG Assertions/2024-05-08/KF.zip	3413457	5nl+qcVqyA45UjAr5FUxCtrEWLGBvApTWERWR8BIkmw=
Attribute Table	LINCS_L1000_Chemical_Perturbation_Consensus_CD_Sigs.h5	https://cfde-drc.s3.amazonaws.com/LINCS/Attribute Table/2024-03-28/LINCS_L1000_Chemical_Perturbation_Consensus_CD_Sigs.h5	1545591650	QpueL0q0pRLT45UHKLCwYMYUnFpWYdPAnFz7YrZpTRY=
KG Assertions	HuBMAP.zip	https://cfde-drc.s3.amazonaws.com/HuBMAP/KG Assertions/2024-04-29/HuBMAP.zip	31399	79Z166xSXM2zi2pUwXZWSbPIw5nWIn0VOncOr1jLN6c=
KG Assertions	HuBMAP.zip	https://cfde-drc.s3.amazonaws.com/HuBMAP/KG Assertions/2024-05-08/HuBMAP.zip	70988	1dA1JEb7fSSik4raDNFyvr/Gq1JDr5I1BJc4XEHbfIM=
KG Assertions	MoTrPAC.zip	https://cfde-drc.s3.amazonaws.com/MoTrPAC/KG Assertions/2024-05-08/MoTrPAC.zip	1285509	dJE3jAAtL36C5BXt8oclPHRBfr1Tqs39QLYXijpSfA8=
XMT	LINCS_L1000_Chem_Pert_Consensus_Sigs.gmt	https://https://s3.amazonaws.com/cfde-drc/LINCS/XMT/2024-01-17/LINCS_L1000_Chem_Pert_Consensus_Sigs.gmt	15963922	WP+H3YajhmRDurGmh/oYtA7r3Fz0YkVp9l8fNedtdBI=
XMT	LINCS_L1000_CRISPR_KO_Consensus_Sigs.gmt	https://https://s3.amazonaws.com/cfde-drc/LINCS/XMT/2024-01-17/LINCS_L1000_CRISPR_KO_Consensus_Sigs.gmt	15963922	WP+H3YajhmRDurGmh/oYtA7r3Fz0YkVp9l8fNedtdBI=
C2M2	checking_rummagene_cell_types.zip	https://https://s3.amazonaws.com/cfde-drc/LINCS/C2M2/2024-01-16/checking_rummagene_cell_types.zip	77990	eLK17FT2gPYVt/sg7aFQr1YjZqKrZmpMFGi8NuXkKg4=
Attribute Table	Azimuth_augmented.txt	https://https://s3.amazonaws.com/cfde-drc/LINCS/Attribute Table/2024-01-16/Azimuth_augmented.txt	279808	ZFKezVE45xK7AmCwzRyeYI7HVv+qcipElFXEBK09K1g=
XMT	test.gmt	https://https://s3.amazonaws.com/cfde-drc/LINCS/XMT/2024-01-16/test.gmt	54530	XgIjNmD+GEHlMlGGlXDGyS4oXHyCHMFM4q5ZZcrSgiQ=
XMT	testfile.gmt	https://https://s3.amazonaws.com/cfde-drc/LINCS/XMT/2023-12-11/testfile.gmt	80	MWcavCS4IMIBHGVvlq3AVOy9Qbgd6RgfDAh3CgjCdqY=
C2M2	MW_C2M2_2023-09-08_datapackage.zip	https://https://s3.amazonaws.com/cfde-drc/Metabolomics/C2M2/2023-12-13/MW_C2M2_2023-09-08_datapackage.zip	2719703	RqS4KyJ1TcZUkcRUTGu9KX17MRPcN1VFkPJguGa3Js8=
XMT	LINCS_L1000_Chem_Pert_Consensus_Sigs.gmt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-01-24/LINCS_L1000_Chem_Pert_Consensus_Sigs.gmt	15963922	WP+H3YajhmRDurGmh/oYtA7r3Fz0YkVp9l8fNedtdBI=
XMT	LINCS_XMT_2022-12-13_LINCS_L1000_Chem_Pert_Consensus_Sigs.gmt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-01-24/LINCS_XMT_2022-12-13_LINCS_L1000_Chem_Pert_Consensus_Sigs.gmt	16319270	BxZ89Ja3/S7lTaA6yCv/Xhgwoh8EIy25JnF1Sk7VphY=
C2M2	LINCS_C2M2_2023-09-18_datapackage.zip	https://cfde-drc.s3.amazonaws.com/LINCS/C2M2/2024-02-01/LINCS_C2M2_2023-09-18_datapackage.zip	177450304	gAyjzvJQwm1AeoVLtBZEnQiYQu5AhteDbZYO+wbVvbI=
Attribute Table	LINCS_L1000_CRISPR_KO_Perturbation_Consensus_CD_Sigs.h5	https://cfde-drc.s3.amazonaws.com/LINCS/Attribute Table/2024-03-29/LINCS_L1000_CRISPR_KO_Perturbation_Consensus_CD_Sigs.h5	332892671	trZDtXXmu5z055DX+4FCNJgd5czYKk5yEkWs1YJoLWM=
XMT	testfile.gmt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-02-12/testfile.gmt	80	MWcavCS4IMIBHGVvlq3AVOy9Qbgd6RgfDAh3CgjCdqY=
C2M2	GlyGen_C2M2_2023-12-14_datapackage.zip	https://cfde-drc.s3.amazonaws.com/GlyGen/C2M2/2024-04-03/GlyGen_C2M2_2023-12-14_datapackage.zip	11113469	OY3Qbd8o4oFEsti7JdfuKVfKuw5KkPxk88Wrj7lh4E8=
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/4DN/C2M2/2022-01-07/4DN_C2M2_2022-01-07_datapackage.zip	4650809	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/4DN/C2M2/2022-04-05/4DN_C2M2_2022-04-05_datapackage.zip	5190513	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/4DN/C2M2/2022-05-20/4DN_C2M2_2022-05-20_datapackage.zip	4724435	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/4DN/C2M2/2022-09-09/4DN_C2M2_2022-09-09_datapackage.zip	4735547	
C2M2	datapckage.zip	https://cfde-drc.s3.amazonaws.com/4DN/C2M2/2022-12-13/4DN_C2M2_2022-12-13_datapckage.zip	4778481	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/4DN/C2M2/2023-02-27/4DN_C2M2_2023-02-27_datapackage.zip	4801074	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/4DN/C2M2/2023-06-04/4DN_C2M2_2023-06-04_datapackage.zip	4855208	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/4DN/C2M2/2023-09-08/4DN_C2M2_2023-09-08_datapackage.zip	4966401	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/ERCC/C2M2/2021-03-18/ERCC_C2M2_2021-03-18_datapackage.zip	5614748	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/ERCC/C2M2/2021-06-11/ERCC_C2M2_2021-06-11_datapackage.zip	5665957	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/ERCC/C2M2/2021-08-19/ERCC_C2M2_2021-08-19_datapackage.zip	5822862	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/ERCC/C2M2/2022-01-21/ERCC_C2M2_2022-01-21_datapackage.zip	7359993	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/ERCC/C2M2/2022-04-16/ERCC_C2M2_2022-04-16_datapackage.zip	55919954	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/ERCC/C2M2/2023-03-23/ERCC_C2M2_2023-03-23_datapackage.zip	11193362	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/ERCC/C2M2/2023-08-17/ERCC_C2M2_2023-08-17_datapackage.zip	11664462	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/GTEx/C2M2/2021-03-17/GTEx_C2M2_2021-03-17_datapackage.zip	38282	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/GTEx/C2M2/2021-06-08/GTEx_C2M2_2021-06-08_datapackage.zip	369823	
C2M2	LINCS_C2M2_2023-09-18_datapackage.zip	https://cfde-drc.s3.amazonaws.com/LINCS/C2M2/2024-04-02/LINCS_C2M2_2023-09-18_datapackage.zip	177450304	gAyjzvJQwm1AeoVLtBZEnQiYQu5AhteDbZYO+wbVvbI=
KG Assertions	LINCS_KG_2023-10-26_LINCS.edges(1).csv	https://cfde-drc.s3.amazonaws.com/LINCS/KG Assertions/2024-04-02/LINCS_KG_2023-10-26_LINCS.edges(1).csv	57219356	mithyOU8Ogx0epeg0y2MoRfmnzexnJRChMnHAqtEkXI=
XMT	LINCS_XMT_2022-12-13_LINCS_L1000_CRISPR_KO_Consensus_Sigs.gmt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-04-02/LINCS_XMT_2022-12-13_LINCS_L1000_CRISPR_KO_Consensus_Sigs.gmt	15605699	U8e1rl0sszqQwtZDJQSWO+t3N0hBsMSyWtdXoZTDzg8=
XMT	LINCS_XMT_2022-12-13_LINCS_L1000_Chem_Pert_Consensus_Sigs.gmt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-04-02/LINCS_XMT_2022-12-13_LINCS_L1000_Chem_Pert_Consensus_Sigs.gmt	16319270	BxZ89Ja3/S7lTaA6yCv/Xhgwoh8EIy25JnF1Sk7VphY=
C2M2	MoTrPAC_C2M2_datapackage_2024-03-12.zip	https://cfde-drc.s3.amazonaws.com/MoTrPAC/C2M2/2024-04-03/MoTrPAC_C2M2_datapackage_2024-03-12.zip	1644196	VKPaLIP6UiI+oJLuPce6MNj+4n1lrmsLvKLDJrKxd2c=
C2M2	SPARC_C2M2_datapackage_2024-03-17.zip	https://cfde-drc.s3.amazonaws.com/SPARC/C2M2/2024-04-03/SPARC_C2M2_datapackage_2024-03-17.zip	16734981	06p76Mzib78KIr1WHZw11KQqb7nuwaGTj35Ru9fnyGY=
C2M2	Glycosciences_C2M2_datapackage_2024-03-14.zip	https://cfde-drc.s3.amazonaws.com/LINCS/C2M2/2024-04-03/Glycosciences_C2M2_datapackage_2024-03-14.zip	11113468	S24TKHI03+XEegEDxlRJnBeLWU2QFiKboSqk0S7pa4w=
C2M2	Glycosciences_C2M2_datapackage_2024-03-14.zip	https://cfde-drc.s3.amazonaws.com/GlyGen/C2M2/2024-04-03/Glycosciences_C2M2_datapackage_2024-03-14.zip	11113468	S24TKHI03+XEegEDxlRJnBeLWU2QFiKboSqk0S7pa4w=
C2M2	4DN_C2M2_2023-11-28_datapackage.zip	https://cfde-drc.s3.amazonaws.com/4DN/C2M2/2024-04-03/4DN_C2M2_2023-11-28_datapackage.zip	5171006	NsKC3KhwdpqEqXam42T96rCfFTNBbfHEUqmrFn4mmP4=
C2M2	HuBMAP_C2M2_2024-01-04_datapackage.zip	https://cfde-drc.s3.amazonaws.com/HuBMAP/C2M2/2024-04-03/HuBMAP_C2M2_2024-01-04_datapackage.zip	1076294222	pmm476mNJOP4SB/kI83WaWNhb5QpBjXv3w7DFvEkuhY=
XMT	LINCS_XMT_2022-12-13_LINCS_L1000_Chem_Pert_Consensus_Sigs.gmt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-04-10/LINCS_XMT_2022-12-13_LINCS_L1000_Chem_Pert_Consensus_Sigs.gmt	16319270	BxZ89Ja3/S7lTaA6yCv/Xhgwoh8EIy25JnF1Sk7VphY=
XMT	LINCS_XMT_2022-12-13_LINCS_L1000_Chemical_Pertubation_Consensus_Sigs.gmt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-04-10/LINCS_XMT_2022-12-13_LINCS_L1000_Chemical_Pertubation_Consensus_Sigs.gmt	16319270	BxZ89Ja3/S7lTaA6yCv/Xhgwoh8EIy25JnF1Sk7VphY=
XMT	LINCS_XMT_2022-12-13_LINCS_L1000_Chemical_Pertubation_Consensus_Signatures.gmt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-04-10/LINCS_XMT_2022-12-13_LINCS_L1000_Chemical_Pertubation_Consensus_Signatures.gmt	16319270	BxZ89Ja3/S7lTaA6yCv/Xhgwoh8EIy25JnF1Sk7VphY=
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/GTEx/C2M2/2022-01-18/GTEx_C2M2_2022-01-18_datapackage.zip	384717	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/GTEx/C2M2/2022-04-07/GTEx_C2M2_2022-04-07_datapackage.zip	729801	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/GTEx/C2M2/2022-06-17/GTEx_C2M2_2022-06-17_datapackage.zip	753127	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/GTEx/C2M2/2023-09-01/GTEx_C2M2_2023-09-01_datapackage.zip	9288164172	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/GlyGen/C2M2/2022-04-15/GlyGen_C2M2_2022-04-15_datapackage.zip	4059608	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/GlyGen/C2M2/2022-06-24/GlyGen_C2M2_2022-06-24_datapackage.zip	7409594	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/GlyGen/C2M2/2022-09-15/GlyGen_C2M2_2022-09-15_datapackage.zip	8881169	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/GlyGen/C2M2/2023-01-06/GlyGen_C2M2_2023-01-06_datapackage.zip	10433104	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/GlyGen/C2M2/2023-03-06/GlyGen_C2M2_2023-03-06_datapackage.zip	14152057	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/GlyGen/C2M2/2023-06-13/GlyGen_C2M2_2023-06-13_datapackage.zip	11112265	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/GlyGen/C2M2/2023-09-15/GlyGen_C2M2_2023-09-15_datapackage.zip	11113465	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/HMP/C2M2/2021-03-24/HMP_C2M2_2021-03-24_datapackage.zip	8234076	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/HMP/C2M2/2021-06-10/HMP_C2M2_2021-06-10_datapackage.zip	11534632	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/HMP/C2M2/2021-08-11/HMP_C2M2_2021-08-11_datapackage.zip	15361850	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/HMP/C2M2/2021-10-15/HMP_C2M2_2021-10-15_datapackage.zip	21763368	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/HMP/C2M2/2022-01-11/HMP_C2M2_2022-01-11_datapackage.zip	23748253	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/HMP/C2M2/2022-04-26/HMP_C2M2_2022-04-26_datapackage.zip	25801953	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/HMP/C2M2/2022-06-20/HMP_C2M2_2022-06-20_datapackage.zip	26721729	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/HuBMAP/C2M2/2021-03-19/HuBMAP_C2M2_2021-03-19_datapackage.zip	27600	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/HuBMAP/C2M2/2021-06-23/HuBMAP_C2M2_2021-06-23_datapackage.zip	17199793	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/HuBMAP/C2M2/2021-10-15/HuBMAP_C2M2_2021-10-15_datapackage.zip	17357650	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/HuBMAP/C2M2/2022-01-15/HuBMAP_C2M2_2022-01-15_datapackage.zip	47978207	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/HuBMAP/C2M2/2022-06-19/HuBMAP_C2M2_2022-06-19_datapackage.zip	96994774	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/HuBMAP/C2M2/2023-03-31/HuBMAP_C2M2_2023-03-31_datapackage.zip	761334552	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/HuBMAP/C2M2/2023-09-17/HuBMAP_C2M2_2023-09-17_datapackage.zip	1079762392	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/IDG/C2M2/2021-03-30/IDG_C2M2_2021-03-30_datapackage.zip	4276893	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/IDG/C2M2/2021-09-29/IDG_C2M2_2021-09-29_datapackage.zip	6055878	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/IDG/C2M2/2022-01-19/IDG_C2M2_2022-01-19_datapackage.zip	6061615	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/IDG/C2M2/2022-04-13/IDG_C2M2_2022-04-13_datapackage.zip	14673022	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/IDG/C2M2/2022-06-15/IDG_C2M2_2022-06-15_datapackage.zip	15423373	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/IDG/C2M2/2023-06-09/IDG_C2M2_2023-06-09_datapackage.zip	16662067	
C2M2	MW_C2M2_datapackage_2024-03-10.zip	https://cfde-drc.s3.amazonaws.com/Metabolomics/C2M2/2024-04-03/MW_C2M2_datapackage_2024-03-10.zip	4145565	YrRelLLrwhPzG9OCoOwO84v3QFaG22oeoM3bhjJupSM=
C2M2	4DN_C2M2_datapackage_2024-03-10.zip	https://cfde-drc.s3.amazonaws.com/4DN/C2M2/2024-04-03/4DN_C2M2_datapackage_2024-03-10.zip	5170424	cwm+7r/VxhSMN1ORzY6rZgcX95yCH1Y0XN9tMroHwVU=
C2M2	IDG_C2M2_2024-01-09_datapackage.zip	https://cfde-drc.s3.amazonaws.com/IDG/C2M2/2024-04-03/IDG_C2M2_2024-01-09_datapackage.zip	17038944	C7tulfb05DOjgMZdsgnrUqmyzHEiIStKaXq/ToneSG0=
C2M2	KidsFirst_C2M2_2023-11-29_datapackage.zip	https://cfde-drc.s3.amazonaws.com/Kids First/C2M2/2024-04-03/KidsFirst_C2M2_2023-11-29_datapackage.zip	35414509	puZlOt1PxsfjFOlZ3FQNk6/6IsBc0AMQFNw6+jsvJC8=
C2M2	GlyGen_C2M2_datapackage_2024-03-14.zip	https://cfde-drc.s3.amazonaws.com/GlyGen/C2M2/2024-04-03/GlyGen_C2M2_datapackage_2024-03-14.zip	11113468	S24TKHI03+XEegEDxlRJnBeLWU2QFiKboSqk0S7pa4w=
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/KidsFirst/C2M2/2021-03-26/KidsFirst_C2M2_2021-03-26_datapackage.zip	3532786	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/KidsFirst/C2M2/2021-06-18/KidsFirst_C2M2_2021-06-18_datapackage.zip	7637275	
