type	name	link	description	openAPISpec	smartAPISpec	smartAPIURL	entityPageExample
Entity Page Template	MetGENE Gene Pages	https://bdcw.org/MetGENE/metGene.php?GeneInfoStr={gene.symbol}&GeneIDType=SYMBOL&species=hsa&anatomy=NA&disease_slim=&disease=NA					https://bdcw.org/MetGENE/metGene.php?GeneInfoStr=ACE2&GeneIDType=SYMBOL&species=hsa&anatomy=NA&disease_slim=&disease=NA
Entity Page Template	GTEx Portal Gene Pages	https://www.gtexportal.org/home/gene/{gene.ensembl}					https://www.gtexportal.org/home/gene/ENSG00000130234
Apps URL	SenNet Data Portal	https://data.sennetconsortium.org/		False	False		
API	HuBMAP Entity API	https://entity.api.hubmapconsortium.org/	The HuBMAP Entity API is a standard RESTful web service with create, update and read operations for the standard HuBMAP provenance graph entities.	False	True	https://smart-api.info/ui/0065e419668f3336a40d1f5ab89c6ba3	
API	SenNet Search API	https://search.api.sennetconsortium.org	The SenNet Search API is a thin wrapper of the Elasticsearch API. It handles data indexing and reindexing into the backend Elasticsearch. It also accepts the search query and passes through to the Elasticsearch with data access security check.	False	True	https://smart-api.info/ui/10ed9b5eb8ff960d4431befc591ed842	
API	SenNet Entity API	https://entity.api.sennetconsortium.org	The SenNet Entity API is a standard RESTful web service with create, update and read operations for the standard SenNet provenance graph entities.	False	True	https://smart-api.info/ui/7d838c9dee0caa2f8fe57173282c5812	
Apps URL	SenNet Exploration User Interface	https://data.sennetconsortium.org/ccf-eui		False	False		
Apps URL	LINCS Tools Marketplace	https://lincsproject.org/LINCS/tools	The LINCS Tools Marketplace page serves a listing of applications produced  using LINCS datasets by the LINCS consortium. 	False	False		
API	CFDE GeneReg Linked Data Hub	https://genboree.org/cfde-gene-dev/ui/api-docs		False	False		
API	Allele Registry	https://reg.clinicalgenome.org/doc/		False	False		
API	Linked Data Hub	https://ldh.clinicalgenome.org/ldh/ui/api-docs		False	False		
PWB Metanodes	Variant	https://playbook-workflow-builder.cloud/components/MyVariantInfo					
PWB Metanodes	Regulatory Element Info	https://playbook-workflow-builder.cloud/components/RegulatoryElementInfo					
PWB Metanodes	VariantInfo	https://playbook-workflow-builder.cloud/components/VariantInfo					
PWB Metanodes	LINCS L1000 Reverse Search	https://playbook-workflow-builder.cloud/components/LINCSL1000ReverseSearchDashboard					
ETL	process_mcf10a_c2m2.py	https://github.com/nih-cfde/LINCS-metadata/blob/main/scripts/process_mcf10a_c2m2.py					
Apps URL	SPARC Tools and Resources	https://sparc.science/tools-and-resources/tools	SPARC Portal page listing SPARC associated tools and resources	False	False		
API	SmartAPI URL	https://smart-api.info/01					
API	OpenAPI URL	https://smart-api.info/					
API	Enrichr API	https://maayanlab.cloud/Enrichr/help#api		False	False		
ETL	LINCS ETL script	https://github.com/nih-cfde/LINCS-metadata/blob/main/scripts/process_mcf10a_cm2.py		False	False		
PWB Metanodes	SigCom LINCS Gene Set Search Results	https://playbook-workflow-builder.cloud/components/SigComLINCSGeneSetResults		False	False		
PWB Metanodes	SigCom LINCS Signature Search Results	https://playbook-workflow-builder.cloud/components/SigComLINCSSignatureResults		False	False		
Apps URL	 Human Reference Atlas	https://humanatlas.io/	A Human Reference Atlas (HRA) is a comprehensive, high-resolution, three-dimensional atlas of all the cells in the healthy human body. The Human Reference Atlas provides standard terminologies and data structures for describing specimens, biological structures, and spatial positions linked to existing ontologies.	False	False		
Apps URL	HRA Exploration	https://portal.hubmapconsortium.org/ccf-eui		False	False		
ETL	LINCS ETL Script	https://github.com/nih-cfde/LINCS-metadata/blob/main/scripts/process_mcf0a_c2m2.py		False	False		
ETL	LINCS ETL Script	https://github.com/nih-cfde/LINCS-metadata/blob/main/scripts/process_mf10a_c2m2.py		False	False		
Entity Page Template	SigCom LINCS Gene Template	https://maayanlab.cloud/sigcom-lincs/#/MetadataSearch/Genes?query={"skip":0,"limit":10,"search":["<GENE_NAME>"]}	Template URL for SigCom LINCS Gene	False	False		
ETL	LINCS ETL script test 	https://github.com/nih-cfde/LINCS-metadata/blob/ain/scripts/process_mcf10a_c2m2.py	test notification	False	False		
Entity Page Template	SigCom LINCS Drug Template	https://maayanlab.cloud/sigcom-lincs/#/MetadataSearch/Signatures?query={"search":["<DRUG_NAME>"]}		False	False		
Entity Page Template	SigCom LINCS Gene Example (ACE2)	https://maayanlab.cloud/sigcom-lincs/#/MetadataSearch/Genes?query={"skip":0,"limit":10,"search":["ACE2"]}	Example entity page for ACE2 in SigCom LINCS	False	False		
Entity Page Template	SigCom LINCS Drug Example (Imatinib)	https://maayanlab.cloud/sigcom-lincs/#/MetadataSearch/Signatures?query={"search":["Imatinib"]}	Example drug page for imatinib in SigCom LINCS	False	False		
Entity Page Template	LINCS Data Portal 2.0 Template	http://lincsportal.ccs.miami.edu/signatures/perturbations/<PERT_ID>	Template gene page URL for LINCS Data Portal 2.0 	False	False		
Entity Page Template	LINCS Data Portal 2.0 Example (Imatinib)	http://lincsportal.ccs.miami.edu/signatures/perturbations/16646	Example drug page for imatinib (perturbation ID 16646) in LINCS Data Portal 2.0 	False	False		
Entity Page Template	Harmonizome Template	https://maayanlab.cloud/Harmonizome/gene/<GENE_NAME>	Example gene page URL template for Harmonizome	False	False		
Entity Page Template	Harmonizome Example (ACE2)	https://maayanlab.cloud/Harmonizome/gene/ACE2	Example gene page for ACE2 in Harmonizome	False	False		
Entity Page Template	Drugmonizome Template	https://maayanlab.cloud/drugmonizome/#/TermSearch/Small%20molecules?query={"limit":10,"search":["<DRUG_NAME>"]}	Template drug page URL for Drugmonizome	False	False		
Entity Page Template	Drugmonizome Example (Imatinib)	https://maayanlab.cloud/drugmonizome/#/TermSearch/Small%20molecules?query={"limit":10,"search":["Imatinib"]}	Example drug page for imatinib in Drugmonizome	False	False		
ETL	Bridge2AI CM4AI DGP Teaming recommendation algorithms	https://github.com/jiaweixu98/cm4ai-teaming-recommendation	Bridge2AI CM4AI Data Generation Project. Teaming recommendation algorithms.	False	False		
API	GlyGen API	https://api.glygen.org/		True	False		
PWB Metanodes	Variant	https://github.com/nih-cfde/playbook-partnership/blob/main/components/core/primitives/variant.ts					
PWB Metanodes	Regulatory Element	https://github.com/nih-cfde/playbook-partnership/blob/main/components/core/primitives/regulatoryElement.ts					
PWB Metanodes	Regulatory Element Info	https://github.com/nih-cfde/playbook-partnership/blob/main/components/service/regulatoryElementInfo/index.tsx					
PWB Metanodes	VariantInfo	https://github.com/nih-cfde/playbook-partnership/blob/main/components/service/variantinfo/index.tsx					
PWB Metanodes	GeneInfo	https://github.com/nih-cfde/playbook-partnership/blob/main/components/service/ldh/index.tsx					
PWB Metanodes	LINCS L1000 Reverse Search	https://github.com/nih-cfde/playbook-partnership/tree/main/components/lincs/l1000-reverse-search					
API	HuBMAP Entity API	https://entity.api.hubmapconsortium.org	The HuBMAP Entity API is a standard RESTful web service with create, update and read operations for the standard HuBMAP provenance graph entities.	False	True	https://smart-api.info/ui/0065e419668f3336a40d1f5ab89c6ba3	
API	HuBMAP Search API	https://search.api.hubmapconsortium.org/v3/	The HuBMAP Search API is a thin wrapper of the Elasticsearch API. It handles data indexing and reindexing into the backend Elasticsearch. It also accepts the search query and passes through to the Elasticsearch with data access security check. 	False	True	https://smart-api.info/ui/7aaf02b838022d564da776b03f357158	
Apps URL	HuBMAP Data Portal	https://portal.hubmapconsortium.org/	The HuBMAP Data Portal is the central resource for discovery, visualization, and download of single-cell tissue data generated by the consortium. A standardized data curation and processing workflow ensure that only high quality is released.	False	False		
API	SmartAPI URL	https://smart-api.info/api/metadata/75cfc060ea7bec431a356c00c4a67c74?raw=1					
